upc,title,description,game_image_url,console_type,brand,release_date
45496901028,Mario Kart,,https://vignette1.wikia.nocookie.net/geekyest-geeks/images/6/6b/MKW.png/revision/latest?cb=20150415120707,Nintendo Wii,Nintendo,
5.06E+12,The Elder Scrolls Skyrim,,https://s4.thcdn.com/productimg/960/960/11303354-9784397463993150.jpg,PlayStation 4,Bethesda,
8888188223,Just Dance 2014,Show your friends your moves and get the party started,http://www.fye.com/amgcover/game/full/g5/37/g53709lt7wa.jpg,Nintendo Wii U,Ubisoft,
7.12E+11,UNCHARTED,"Immerse yourself in the Uncharted: The Nathan Drake Collection for PlayStation 4. Play as Nathan Drake and forge strategic relationships in this action saga, which includes single-player campaigns from the first three games of the series. Uncharted: The Nathan Drake Collection features a photo mode that lets you capture on-screen images and send them to friends through your console.",http://site.unbeatablesale.com/img649/dahd13655.gif,PlayStation 4,Sony,
7.12E+11,The Order: 1886,"The Order: 1886 introduces players to a unique vision of Victorian-Era London where man uses advanced technology to battle a powerful and ancient foe. As a member of an elite order of knights, join a centuries-old war that will determine the course of history forever.",http://www.fye.com/amgcover/game/full/g5/74/g57444g01mb.jpg,PlayStation 4,Sony,
8888187400,Fitness Evolved 2013,"Your Shape Fitness Evolved is designed with variety in mind, so you're losing inches from your waistline, not losing interest in your workout. Choose from 125 workouts and 215 moves that focus on cardio, strength building, stretching, relaxation, or help you burn calories while you dance. Create a customized four-week fitness program with trackable goals and Daily-Do's that help you reach your goals. Get motivation and guidance from expert virtual trainers. Connect with other workout warriors online, where...",http://images.hookbag.ca/90097b6292ccc890/image.jpg ,Nintendo Wii U,Ubisoft,
45496903053,Sing Party,,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Sing_Party_Covertart.png/250px-Sing_Party_Covertart.png,Nintendo Wii U,Nintendo,
45496901707,Wii Fit Plus,"Just when you were ready to sit back down, Wii Fit Plus gives you another reason to stay off that couch! Re-energize your workout and re-energize yourself with 15 new balance games and six new strength training and yoga activities. Crunched for time? Pick a preset 20-, 30-, or 40-minute workout designed to maximize the time you have. Have a specific goal or a certain part of your body you'd like to blast? Wii Fit Plus serves up ways to make it happen. Varied activities and the ability to seamlessly blend s...",http://www.fye.com/amgcover/game/full/g4/22/g42252mxofm.jpg,Nintendo Wii,Nintendo,
47875840058,Call of Duty: Black Ops,"Fight in the shadows cast by two global superpowers in a new type of Call of Duty experience. Black Ops mines decades of Cold War tensions to create riveting covert missions inspired by actual historical scenarios. Infiltrate fortresses high atop snow-covered Soviet mountains, strike your enemy deep in the jungles of Southeast Asia, and more. Use authentic Cold War-era vehicles and weapons on missions that combine stealth with full-blown combat. COD's traditional tactical-shooter style has been expanded wi...",http://images10.newegg.com/ProductImageCompressAll200/78-114-222-04.jpg,Nintendo Wii,Activision,
,Deca Sports,"Deca Sports is a sports video game for the Wii developed by Hudson Soft. It is similar to Wii Sports in that it is a collection of ten different sports simulations controlled with the Wii Remote.  Initial release date: March 19, 2008",http://vignette3.wikia.nocookie.net/nintendo/images/c/c1/Deca_Sports_%28NA%29.jpg/revision/latest?cb=20150427211133&path-prefix=en,Nintendo Wii,Hudson,
8888187196,ZombiU,"As a zombie outbreak spreads through London, you'll have to do what it takes to survive in a world drenched in shadows and overrun with infected attackers looking to make you their next snack. The GamePad will be your emergency-ready Bug-Out Bag. Swap weapons, choose your gear, and track your location on the touch screen as you stockpile supplies and turn your safe house into the ultimate fortress against the zombie horde. If they get you, you'll come back as a different survivor. Your first mission: find ...",https://i5.walmartimages.com/asr/6f20aaa5-b76f-4497-8873-654ab281c5ee_1.ef75f28b0ce32707df11344c393b4ac5.jpeg?odnHeight=450&odnWidth=450&odnBg=fffff,Nintendo Wii U,Ubisoft,
47875846852,Call of Duty: Ghosts,"Blizzard Inc. Call of Duty Ghosts, Nintendo Wii U",http://img.bbystatic.com/BestBuy_US/images/products/1659/1659343_sc.jpg,Nintendo Wii U,Activision,
13388390021,Resident Evil: Revelations,Fight for your life as an all-new Evil emerges from the water,http://www.fye.com/amgcover/game/full/g5/27/g52789nyi48.jpg,Nintendo Wii U,Capcom,
10086650051,The Golden Compass,"No matter which way it points, The Golden Compass always leads to adventure. Follow the path to a magical world in this gamed based on The Golden Compass book and movie. Join cunning heroine Lyra as she undertakes a courageous quest to free her uncle and her best friend. She's helped by her spirit daemon Pan, the armored bear Lorek, and the legendary Golden Compass, a truth-telling tool that will guide the way. Experience 11 stunning mystical environments, with characters brought to life by the voices of t...",http://gamefly.gameflycdn.com/images/Games/p/126245p.jpg,Nintendo Wii,Sega,
,NCIS,"Play as the cast, be part of the family - Take on the role of the best NCIS team using the special skill set and field of expertise of each team member. Your own NCIS adventure - An all-new NCIS story arc written with the writers of the show. Enjoy the NCIS team camaraderie - Bond with your favorite NCIS characters and get first-hand experience with the group's humor, personality quirks, and defining characteristics. Total NCIS experience - As in the show, use your guts and the cutting edge of technology to solve cases. Immersive and easy to pick up - Control your character in third person view with simple point and click navigation and controls.",https://images-eu.ssl-images-amazon.com/images/I/81tCC9NAKBL._SY445_.jpg,Nintendo Wii,Ubisoft,
47875843875,Call of Duty: Black Ops 2,"In the not-too-distant future, two superpowers dominate the world. The United States and China have pushed each other to the brink of destruction. When a cyber-terrorism strike unleashes America's drones against its own cities, the situation goes from bad to full-blown Armageddon. Experience a more branching Call of Duty storyline written by The Dark Knight's David S. Goyer, and set in two eras - 2025 and the 1980s Cold War. Use the GamePad to customize your control scheme mid-battle and shape the outcome ...",http://www.mwave.com/mwave/specHR/images/BL11924.jpg,Nintendo Wii U,Activision,
45496902339,Wii Sports Resort,Wii Sports Resort,http://www.fye.com/amgcover/game/full/g4/97/g49778b84qu.jpg,Nintendo Wii,Nintendo,
45496900014,The Legend of Zelda,"The first Legend of Zelda adventure for the Wii finds Link taking a walk on the wild side! A menacing darkness has enveloped the land of Hyrule. We've seen Link become a hero before...but this time he'll turn into something else, a wolf, to free Hyrule from this great evil. With his feral powers, plus the magic of a mysterious new ally named Midna, Link will attempt to bring light to the darkened land. Use weapons new and old, strike down hordes of revolting enemy creatures in thrilling horseback battles, ...",http://www.fye.com/amgcover/game/full/g2/53/g25315af8xn.jpg,Nintendo Wii,Nintendo,
,Call of Duty: Black Ops III,"Welcome to Call of Duty: Black Ops III, a dark future where a new breed of Black Ops soldier emerges and the lines are blurred between humanity and the technology we created to stay ahead, in a world where cutting-edge military robotics define warfare. It is the ultimate 3-games-in-1 experience.",http://ps4daily.com/wp-content/uploads/2015/04/black-ops-2-box-art-640x799.jpg,PlayStation 4,Activision,
,Crimes & Punishments,"Sherlock Holmes: Gather clues and interrogate suspects (failure to find all clues could lead to imprisoning the wrong person!) Lead 6 intense investigations, each with a variety of people and places involved Use Sherlock's skills to examine countless details within each scene Write your own story with a variety of moral choices and outcomes Initial release date: September 30, 2014",https://images-na.ssl-images-amazon.com/images/I/81OA6w4qosL._AC_SX215_.jpg,PlayStation 4,Focus,
10086650167,House of the Dead 2 & 3,"House of the Dead 2 & 3 Return: The heart-pounding action and terrifying thrills of the classic arcade shooter are now in your living room! Combine two classic House of the Dead titles and use the Wii Remote or the innovative new Wii Zapper as you fight an unrelenting horde of zombies intent on your destruction. You'll also have to face massive boss creatures, which will test your skills to the extreme. Branching storylines keep the game fresh each time, and six different game modes - including Arcade Mode and Time Attack Mode - will put...",http://images10.newegg.com/ProductImageCompressAll200/78-142-029-02.jpg,Nintendo Wii,Sega,
45496902445,The Malgrave Incident,"Mystery Case Files: Malgrave Island is the opposite of a vacation spot. It has been deserted for years, but it is home to a secret that could be life-saving...and a mystery that may be even greater. Open a new Mystery Case File in this interactive detective adventure. Travel to an abandoned resort on a mostly deserted island at the request of the island's caretaker, Winston Malgrave. The man's wife Sara is very ill, and the island's legendary dust may hold the only cure. Search for clues and hidden objects by pointing and cli...",http://www.fye.com/amgcover/game/full/g4/79/g47986juv1n.jpg,Nintendo Wii,Nintendo,
,Calling,"Calling, or Calling: Kuroki Chakushin in Japan, is a survival horror video game developed by Hudson Soft exclusively for the Wii console. Initial release date: November 19, 2009",https://images-na.ssl-images-amazon.com/images/I/814ozWyvR6L.jpg,Nintendo Wii,Hudson,
,Scooby Doo First Frights,"Scooby-Doo! First Frights is a 3D platform video game released in 2009. It was developed by Torus Games and published by Warner Bros. Interactive Entertainment. The game tied in with the release of Scooby-Doo! The Mystery Begins on DVD.  Initial release date: September 22, 2009",http://dsmedia.ign.com/ds/image/object/143/14336673/Scooby-Doo-First-Frights_US_ESRB_Wii.jpg,Nintendo Wii,Torus Games,
8888177272,Just Dance Greatest Hits,"Catch up on the moves you might have missed as the smash-hit sensation Just Dance unleashes its Greatest Hits. This collection pulls an all-star track list from four Just Dance games, creating a decades-spanning set of 35 unforgettable songs. Choose from recent chart-toppers from Rhianna, Katy Perry, Outkast, and Britney Spears, or flashback with classics like ""Fame,"" ""Eye of the Tiger,"" and more. Jump right in and groove to the music with help from an on-screen coach. Mix things up with multiple game mode...",http://images.hookbag.ca/acc19a6a08e9d9aa/image.jpg,Nintendo Wii,Ubisoft,
,Brunswick Zone Bowling,Brunswick Zone Cosmic Bowling is a video game published by Game Mill Entertainment,https://images-na.ssl-images-amazon.com/images/I/91CYW3ADx7L._AC_SX215_.jpg,Nintendo Wii,Game Mill,9/10/10
45496900069,Wii Play,"Note: The Wii Remote is not included with rental or purchase of this game. <p>Wii Play is packed, loaded, and punched with nine fun mini-games that will keep you going 24/7. Start off at the Shooting Range, where you will use the remote to point-aim-and-fire at your target. Billiards is everyone's best bet- use your remote as the pool cue and knock away those stripes and solids as though you were playing at a real live pool table. Where's your Mii? Similar to Where's Waldo, you'll be scanning crowds and fa...",https://i5.walmartimages.com/asr/cdf132a6-b01b-4616-91ec-a7a11a834abc_1.e5fa94cb64bdbfac9cf4f31cdc26115d.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff http://img1.r10.io/PIC/92872412/0/1/250/92872412.jpg http://www.techforless.com/cimages/115250.JPG http://gamefly.gameflycdn.com/images/Games/p/124720p.jpg,Nintendo Wii,Nintendo,
,CSI: Deadly Intent,"CSI: Deadly Intent is a computer game based on the CSI: Crime Scene Investigation television series. It's the seventh CSI game released, including CSI: Miami and CSI: NY.  Initial release date: October 20, 2009",https://images-na.ssl-images-amazon.com/images/I/51IbrIwZVgL._AC_SX215_.jpg,Nintendo Wii,Telltale Games,
